date,dailyInfectionsPer100K
25/01/2022 00:00,NaN
26/01/2022 00:00,NaN
27/01/2022 00:00,NaN
28/01/2022 00:00,NaN
29/01/2022 00:00,NaN
30/01/2022 00:00,NaN
31/01/2022 00:00,NaN
01/02/2022 00:00,NaN
02/02/2022 00:00,NaN
03/02/2022 00:00,NaN
04/02/2022 00:00,NaN
05/02/2022 00:00,NaN
06/02/2022 00:00,28.57142857
07/02/2022 00:00,NaN
08/02/2022 00:00,NaN
09/02/2022 00:00,NaN
10/02/2022 00:00,NaN
11/02/2022 00:00,NaN
12/02/2022 00:00,NaN
13/02/2022 00:00,114.2857143
14/02/2022 00:00,NaN
15/02/2022 00:00,NaN
16/02/2022 00:00,NaN
17/02/2022 00:00,NaN
18/02/2022 00:00,NaN
19/02/2022 00:00,NaN
20/02/2022 00:00,571.4285714
21/02/2022 00:00,NaN
22/02/2022 00:00,NaN
23/02/2022 00:00,NaN
24/02/2022 00:00,NaN
25/02/2022 00:00,NaN
26/02/2022 00:00,NaN
27/02/2022 00:00,928.5714286
28/02/2022 00:00,NaN
01/03/2022 00:00,NaN
02/03/2022 00:00,NaN
03/03/2022 00:00,NaN
04/03/2022 00:00,NaN
05/03/2022 00:00,NaN
06/03/2022 00:00,700
07/03/2022 00:00,NaN
08/03/2022 00:00,NaN
09/03/2022 00:00,NaN
10/03/2022 00:00,NaN
11/03/2022 00:00,NaN
12/03/2022 00:00,NaN
13/03/2022 00:00,542.8571429
14/03/2022 00:00,NaN
15/03/2022 00:00,NaN
16/03/2022 00:00,NaN
17/03/2022 00:00,NaN
18/03/2022 00:00,NaN
19/03/2022 00:00,NaN
20/03/2022 00:00,428.5714286
21/03/2022 00:00,NaN
22/03/2022 00:00,NaN
23/03/2022 00:00,NaN
24/03/2022 00:00,NaN
25/03/2022 00:00,NaN
26/03/2022 00:00,NaN
27/03/2022 00:00,351.2707112
28/03/2022 00:00,NaN
29/03/2022 00:00,NaN
30/03/2022 00:00,NaN
31/03/2022 00:00,NaN
01/04/2022 00:00,NaN
02/04/2022 00:00,NaN
03/04/2022 00:00,282.4171008
04/04/2022 00:00,NaN
05/04/2022 00:00,NaN
06/04/2022 00:00,NaN
