"date","nCases","nBorderCases","nLocalCases","nCasesMovingAverage"
2020-02-26,1,1,0,NA
2020-03-02,1,1,0,NA
2020-03-04,2,1,1,NA
2020-03-05,2,2,0,1.28571428571429
2020-03-06,1,0,1,1.28571428571429
2020-03-12,1,1,0,1.28571428571429
2020-03-13,1,1,0,2
2020-03-14,1,1,0,3.42857142857143
2020-03-15,1,1,0,4
2020-03-16,7,7,0,6.42857142857143
2020-03-17,12,10,2,7.85714285714286
2020-03-18,5,4,1,11.1428571428571
2020-03-19,18,13,5,17.2857142857143
2020-03-20,11,8,3,22.1428571428571
2020-03-21,24,13,11,28.7142857142857
2020-03-22,44,29,15,40
2020-03-23,41,28,13,48.7142857142857
2020-03-24,58,40,18,57.8571428571429
2020-03-25,84,52,32,64.7142857142857
2020-03-26,79,54,25,69
2020-03-27,75,35,40,70.5714285714286
2020-03-28,72,35,37,73.2857142857143
2020-03-29,74,26,48,71.7142857142857
2020-03-30,52,19,33,72.1428571428571
2020-03-31,77,22,55,72.1428571428571
2020-04-01,73,36,37,72.8571428571429
2020-04-02,82,26,56,72.2857142857143
2020-04-03,75,15,60,72.4285714285714
2020-04-04,77,16,61,66.7142857142857
2020-04-05,70,9,61,60.2857142857143
2020-04-06,53,7,46,54.8571428571429
2020-04-07,37,8,29,48
2020-04-08,28,9,19,40.5714285714286
2020-04-09,44,4,40,33.4285714285714
2020-04-10,27,6,21,27.4285714285714
2020-04-11,25,9,16,24.4285714285714
2020-04-12,20,5,15,22
2020-04-13,11,0,11,18.1428571428571
2020-04-14,16,3,13,16
2020-04-15,11,0,11,13.8571428571429
2020-04-16,17,3,14,12.4285714285714
2020-04-17,12,3,9,11.2857142857143
2020-04-18,10,2,8,9.85714285714286
2020-04-19,10,2,8,9
2020-04-20,3,0,3,7.28571428571429
2020-04-21,6,0,6,6.42857142857143
2020-04-22,5,1,4,5.85714285714286
2020-04-23,5,1,4,4.85714285714286
2020-04-24,6,0,6,4.85714285714286
2020-04-25,6,1,5,4.14285714285714
2020-04-26,3,0,3,3.71428571428571
2020-04-27,3,0,3,3.42857142857143
2020-04-28,1,1,0,3.42857142857143
2020-04-29,2,1,1,2.71428571428571
2020-04-30,3,0,3,2.57142857142857
2020-05-01,6,0,6,2.42857142857143
2020-05-03,1,1,0,2.42857142857143
2020-05-05,2,0,2,2.28571428571429
2020-05-06,2,0,2,2
2020-05-07,1,0,1,1.57142857142857
2020-05-08,1,0,1,1.57142857142857
2020-05-09,1,1,0,1.42857142857143
2020-05-10,3,1,2,1.28571428571429
2020-05-14,1,0,1,1.42857142857143
2020-05-15,1,0,1,1.42857142857143
2020-05-22,1,0,1,1.57142857142857
2020-06-16,2,2,0,1.28571428571429
2020-06-17,1,1,0,1.57142857142857
2020-06-19,2,2,0,1.71428571428571
2020-06-20,1,1,0,1.71428571428571
2020-06-21,3,3,0,1.85714285714286
2020-06-22,2,2,0,1.85714285714286
2020-06-23,1,1,0,1.71428571428571
2020-06-24,3,3,0,2.28571428571429
2020-06-25,1,1,0,2
2020-06-26,1,1,0,1.85714285714286
2020-06-27,5,5,0,1.85714285714286
2020-06-28,1,1,0,1.57142857142857
2020-06-29,1,1,0,1.85714285714286
2020-07-01,1,1,0,2.14285714285714
2020-07-02,1,1,0,1.71428571428571
2020-07-05,3,3,0,1.85714285714286
2020-07-06,3,3,0,2.14285714285714
2020-07-07,2,2,0,2.14285714285714
2020-07-08,2,2,0,2.14285714285714
2020-07-09,3,3,0,2.14285714285714
2020-07-11,1,1,0,1.85714285714286
2020-07-13,1,1,0,1.85714285714286
2020-07-14,3,3,0,1.85714285714286
2020-07-16,1,1,0,1.57142857142857
2020-07-17,2,2,0,1.57142857142857
2020-07-18,2,2,0,1.57142857142857
2020-07-19,1,1,0,1.42857142857143
2020-07-20,1,1,0,1.42857142857143
2020-07-24,1,1,0,1.28571428571429
2020-07-27,2,2,0,1.28571428571429
2020-07-28,1,1,0,1.42857142857143
2020-07-29,1,1,0,1.71428571428571
2020-07-31,2,2,0,1.85714285714286
2020-08-01,2,2,0,2.28571428571429
2020-08-02,3,3,0,4.28571428571429
2020-08-04,2,2,0,5.85714285714286
2020-08-11,5,1,4,6.28571428571429
2020-08-12,15,2,13,8
2020-08-13,12,0,12,9.28571428571429
2020-08-14,5,0,5,10.2857142857143
2020-08-15,14,1,13,11.1428571428571
2020-08-16,12,0,12,9.71428571428571
2020-08-17,9,0,9,9
2020-08-18,11,1,10,9.28571428571429
2020-08-19,5,0,5,7.85714285714286
2020-08-20,7,2,5,7.28571428571429
2020-08-21,7,1,6,7
2020-08-22,4,2,2,6
2020-08-23,8,1,7,6.28571428571429
2020-08-24,7,0,7,6.14285714285714
2020-08-25,4,1,3,7.71428571428571
2020-08-26,7,2,5,7.71428571428571
2020-08-27,6,0,6,7.28571428571429
2020-08-28,18,9,9,8.28571428571429
2020-08-29,4,0,4,8.57142857142857
2020-08-30,5,1,4,8.28571428571429
2020-08-31,14,12,2,7.85714285714286
2020-09-01,6,2,4,6
2020-09-02,5,1,4,6.42857142857143
2020-09-03,3,1,2,6.14285714285714
2020-09-04,5,3,2,5
2020-09-05,7,2,5,5
2020-09-06,3,1,2,4.71428571428571
2020-09-07,6,2,4,4.57142857142857
2020-09-08,6,0,6,4.14285714285714
2020-09-09,3,2,1,3.42857142857143
2020-09-10,2,0,2,3.14285714285714
2020-09-11,2,0,2,3
2020-09-12,2,1,1,3.85714285714286
2020-09-13,1,0,1,3.85714285714286
2020-09-14,5,4,1,4
2020-09-16,12,7,5,3.85714285714286
2020-09-18,3,2,1,4
2020-09-19,3,1,2,4.28571428571429
2020-09-21,1,1,0,3.85714285714286
2020-09-22,3,0,3,2.28571428571429
2020-09-23,3,3,0,2.14285714285714
2020-09-24,2,1,1,2
