date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2022-06-01,6.96556200718334e6,3632992,true,6977,true,1
2022-06-02,8.20173892568154e6,637271,true,6297,true,2
2022-06-03,7.40712502206831e6,429394,true,7199,true,3
2022-06-04,NaN,,false,6229,true,4
2022-06-05,NaN,,false,5503,true,5
2022-06-06,1.22663894507621e7,1607500,true,5230,true,6
2022-06-07,7.64493887996816e6,1583080,true,6173,true,7
2022-06-08,4.71570854511383e6,3772546,true,7065,true,8
2022-06-09,7.63904414702822e6,1013098,true,6393,true,9
2022-06-10,8.08006790019745e6,557100,true,5906,true,10
2022-06-11,NaN,,false,6279,true,11
2022-06-12,1.7393164e7,240000,true,5584,true,12
2022-06-13,6.84549629226206e6,2456364,true,5619,true,13
2022-06-14,6.50541732838742e6,1401628,true,4888,true,14
2022-06-15,7.62096009104981e6,3507289,true,4891,true,15
2022-06-16,6.36083087455328e6,921443,true,4972,true,16
2022-06-17,1.52266286839378e7,386000,true,5067,true,17
2022-06-18,NaN,,false,4625,true,18
2022-06-19,198542.0,65000,true,5065,true,19
2022-06-20,9.53373239689741e6,3659394,true,5141,true,20
2022-06-21,5.93918886738755e6,939497,true,4848,true,21
2022-06-22,8.26228721757714e6,3165043,true,4757,true,22
2022-06-23,9.52246471814404e6,144400,true,4928,true,23
2022-06-24,1.71909967046632e7,386000,true,4439,true,24
2022-06-25,NaN,,false,6337,true,25
2022-06-26,NaN,,false,6974,true,26
2022-06-27,1.15075350022848e7,1591413,true,7326,true,27
2022-06-28,9.34664574137024e6,1330976,true,6840,true,28
2022-06-29,1.46318415577993e7,3673823,true,6742,true,29
2022-06-30,8.9326257368048e6,757681,true,7242,true,30
2022-07-01,1.44366974766839e7,386000,true,7308,true,31
2022-07-02,NaN,,false,7527,true,32
2022-07-03,NaN,,false,7902,true,33
2022-07-04,1.53528261693036e7,3636734,true,7983,true,34
2022-07-05,3.93573172056403e7,1454078,true,8954,true,35
2022-07-06,3.88699567865259e7,1384772,true,9788,true,36
2022-07-07,3.2754894828006e7,823360,true,9640,true,37
2022-07-08,1.05902700272021e8,386000,true,10228,true,38
2022-07-09,NaN,,false,10667,true,39
2022-07-10,NaN,,false,10429,true,40
2022-07-11,3.33834232412016e7,2518445,true,9620,true,41
2022-07-12,8.5087916522375e6,1097476,true,9987,true,42
2022-07-13,1.40019659144633e7,3889440,true,10482,true,43
2022-07-14,9.34321935023057e6,669853,true,10879,true,44
2022-07-15,3.0847068528169e7,426000,true,10197,true,45
2022-07-16,NaN,,false,9323,true,46
2022-07-17,3.671393e6,65000,true,9248,true,47
2022-07-18,1.54452866321218e7,1201664,true,8730,true,48
2022-07-19,1.35974208094757e7,2652727,true,9055,true,49
2022-07-20,2.98255667392544e7,1454759,true,9254,true,50
2022-07-21,1.10815801329639e7,1886964,true,9126,true,51
2022-07-22,6.68253074485597e6,388800,true,8631,true,52
2022-07-23,NaN,,false,8413,true,53
2022-07-24,NaN,,false,8423,true,54
2022-07-25,3.75362539555835e7,2523164,true,7859,true,55
2022-07-26,1.25322784590548e7,1060137,true,7739,true,56
2022-07-27,1.16361248509985e7,3992940,true,7098,true,57
2022-07-28,1.06440871294138e7,591900,true,7971,true,58
2022-07-29,1.482842748757e7,393283,true,6923,true,59
2022-07-30,NaN,,false,6445,true,60
2022-07-31,NaN,,false,6399,true,61
2022-08-01,9.32953073335782e6,2711664,true,5978,true,62
2022-08-02,1.0454078364601e7,1075178,true,5685,true,63
2022-08-03,1.44659046285904e7,2680523,true,5674,true,64
2022-08-04,NaN,712179,false,5543,true,65
2022-08-05,1.21345707746114e7,386000,true,5239,true,66
2022-08-06,NaN,,false,5009,true,67
2022-08-07,NaN,,false,4863,true,68
2022-08-08,1.32752448086032e7,2487554,true,4964,true,69
2022-08-09,7.0829232347416e6,1208908,true,4579,true,70
2022-08-10,8.4466392638294e6,2675062,true,4479,true,71
2022-08-11,1.281580379717e7,723611,true,4314,true,72
2022-08-12,4.32618861143289e6,397100,true,3982,true,73
2022-08-13,NaN,,false,3996,true,74
2022-08-14,4.011126e6,65000,true,4103,true,75
2022-08-15,1.05712415525491e7,1467200,true,4038,true,76
2022-08-16,8.21702900223383e6,1322842,true,3954,true,77
2022-08-17,7.03253416055084e6,2239982,true,4137,true,78
2022-08-18,6.53478158411046e6,914690,true,3925,true,79
2022-08-19,3.06513248251029e6,388800,true,3652,true,80
2022-08-20,NaN,,false,3203,true,81
2022-08-21,NaN,,false,3275,true,82
2022-08-22,6.01626994348741e6,2679633,true,3101,true,83
2022-08-23,4.91810596500176e6,1048367,true,2783,true,84
2022-08-24,5.11781004027959e6,2587663,true,2595,true,85
2022-08-25,4.720688221988e6,643751,true,2501,true,86
2022-08-26,2.3665444507772e6,386000,true,2431,true,87
2022-08-27,NaN,,false,2010,true,88
2022-08-28,NaN,,false,2033,true,89
2022-08-29,3.8662634729631e6,1584834,true,2087,true,90
2022-08-30,4.07642550566412e6,2546380,true,1988,true,91
2022-08-31,3.66395069093522e6,1160789,true,1965,true,92
2022-09-01,4.09529709620658e6,1892251,true,1905,true,93
2022-09-02,3.41513663989637e6,386000,true,1824,true,94
2022-09-03,NaN,,false,1586,true,95
