date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2021-11-12,285436.497285955,438460,true,177,true,1
2021-11-13,222601.95049505,40400,true,138,true,2
2021-11-14,12499.9926778243,95600,true,203,true,3
2021-11-15,76876.3196739258,1813207,true,201,true,4
2021-11-16,89781.1038033504,1106130,true,178,true,5
2021-11-17,317380.349032099,918947,true,190,true,6
2021-11-18,854773.272481095,2344570,true,180,true,7
2021-11-19,9372.91495481312,396354,true,177,true,8
2021-11-20,120707.0,9900,true,195,true,9
2021-11-21,NaN,,false,188,true,10
2021-11-22,469924.696865968,2639156,true,204,true,11
2021-11-23,58019.6836091006,935934,true,196,true,12
2021-11-24,156545.155960692,1103387,true,183,true,13
2021-11-25,231732.740926786,1314694,true,202,true,14
2021-11-26,893.3471210276701,379300,true,171,true,15
2021-11-27,893.3471210276701,8034,true,129,true,16
2021-11-28,NaN,,false,161,true,17
2021-11-29,70641.6477637845,1610936,true,144,true,18
2021-11-30,41498.6797401171,1269341,true,147,true,19
2021-12-01,31836.5577659201,763876,true,125,true,20
2021-12-02,96292.4613746293,1394485,true,113,true,21
2021-12-03,189848.658375232,377900,true,132,true,22
2021-12-04,893.3471210276701,8034,true,96,true,23
2021-12-05,893.3471210276701,65000,true,91,true,24
2021-12-06,84438.4633871336,1674466,true,97,true,25
2021-12-07,149084.598493966,1292932,true,115,true,26
2021-12-08,283345.541378377,1829325,true,106,true,27
2021-12-09,140705.966469813,1281830,true,95,true,28
2021-12-10,187761.863386548,382100,true,90,true,29
2021-12-11,NaN,,false,91,true,30
2021-12-12,NaN,,false,66,true,31
2021-12-13,35415.2292529448,1650186,true,71,true,32
2021-12-14,233525.011195887,1158997,true,83,true,33
2021-12-15,141778.659924575,2179393,true,95,true,34
2021-12-16,470060.274763438,1108590,true,82,true,35
2021-12-17,188155.803829006,381300,true,69,true,36
2021-12-18,NaN,,false,72,true,37
2021-12-19,215127.0,55000,true,41,true,38
2021-12-20,173219.133467871,1613924,true,41,true,39
2021-12-21,288710.753464021,897151,true,62,true,40
2021-12-22,160225.166448231,2411080,true,81,true,41
2021-12-23,117096.913043478,437000,true,52,true,42
2021-12-24,NaN,,false,88,true,43
2021-12-25,NaN,,false,44,true,44
2021-12-26,NaN,,false,34,true,45
2021-12-27,NaN,,false,38,true,46
2021-12-28,893.3471210276701,20700,true,80,true,47
2021-12-29,144651.461124691,3151319,true,44,true,48
2021-12-30,47541.46849341,126783,true,67,true,49
2021-12-31,893.3471210276701,40000,true,73,true,50
2022-01-01,NaN,,false,62,true,51
2022-01-02,NaN,,false,61,true,52
2022-01-03,NaN,,false,46,true,53
2022-01-04,NaN,,false,72,true,54
2022-01-05,119430.080804764,2198509,true,70,true,55
2022-01-06,97045.2475227212,487430,true,75,true,56
2022-01-07,893.3471210276701,381100,true,52,true,57
2022-01-08,NaN,,false,61,true,58
2022-01-09,NaN,,false,70,true,59
2022-01-10,16040.3992811787,1598172,true,49,true,60
2022-01-11,146871.065879275,954883,true,106,true,61
2022-01-12,8933.4712102767,843617,true,70,true,62
2022-01-13,206135.094686523,1196580,true,47,true,63
2022-01-14,893.3471210276701,382300,true,43,true,64
2022-01-15,NaN,,false,85,true,65
2022-01-16,893.3471210276701,65000,true,36,true,66
2022-01-17,53761.8960144525,1710430,true,77,true,67
2022-01-18,199572.031413585,1139507,true,103,true,68
2022-01-19,45413.9269794436,882546,true,72,true,69
2022-01-20,74443.8872886172,969627,true,79,true,70
2022-01-21,893.3471210276701,382300,true,58,true,71
2022-01-22,NaN,,false,74,true,72
2022-01-23,NaN,,false,91,true,73
2022-01-24,100195.007178032,2342146,true,63,true,74
2022-01-25,94989.2854088476,3858626,true,94,true,75
2022-01-26,109549.64183108,1247417,true,148,true,76
2022-01-27,103326.109636134,1108567,true,159,true,77
2022-01-28,169089.391644271,409300,true,134,true,78
2022-01-29,NaN,,false,182,true,79
2022-01-30,NaN,,false,156,true,80
2022-01-31,84042.9469669548,1132690,true,168,true,81
2022-02-01,555818.036891402,2212277,true,286,true,82
2022-02-02,106591.921529001,1157880,true,247,true,83
2022-02-03,171086.542435781,1108581,true,286,true,84
2022-02-04,206900.98487717,258814,true,235,true,85
2022-02-05,NaN,,false,203,true,86
2022-02-06,NaN,,false,269,true,87
2022-02-07,41152.037729577,240660,true,276,true,88
2022-02-08,162403.684578994,1672647,true,294,true,89
2022-02-09,901832.470406067,2442477,true,543,true,90
2022-02-10,437093.767756032,1370309,true,474,true,91
2022-02-11,372722.67664234,381194,true,550,true,92
2022-02-12,NaN,,false,711,true,93
2022-02-13,NaN,,false,795,true,94
2022-02-14,334954.440096207,1505080,true,726,true,95
